"H (A_per_meter)" 	"B (tesla)"
46300.00	0.89
46400.00	0.89
46500.00	0.89
46600.00	0.89
46700.00	0.89
46800.00	0.89
46900.00	0.89
47000.00	0.89
47100.00	0.89
47200.00	0.89
47300.00	0.89
47400.00	0.89
47500.00	0.89
47600.00	0.89
47700.00	0.89
47800.00	0.89
47900.00	0.89
48000.00	0.89
48100.00	0.89
48200.00	0.89
48300.00	0.89
48400.00	0.90
48500.00	0.90
48600.00	0.90
48700.00	0.90
48800.00	0.90
48900.00	0.90
49000.00	0.90
49100.00	0.90
49200.00	0.90
49300.00	0.90
49400.00	0.90
49500.00	0.90
49600.00	0.90
49700.00	0.90
49800.00	0.90
49900.00	0.90
50000.00	0.90
50100.00	0.90
50200.00	0.90
50300.00	0.90
50400.00	0.90
50500.00	0.90
50600.00	0.90
50700.00	0.90
50800.00	0.90
50900.00	0.90
51000.00	0.90
51100.00	0.90
51200.00	0.90
51300.00	0.90
51400.00	0.90
51500.00	0.90
51600.00	0.90
51700.00	0.90
51800.00	0.90
51900.00	0.90
52000.00	0.90
52100.00	0.90
52200.00	0.90
52300.00	0.90
52400.00	0.90
52500.00	0.90
52600.00	0.90
52700.00	0.90
52800.00	0.91
52900.00	0.91
53000.00	0.91
53100.00	0.91
53200.00	0.91
53300.00	0.91
53400.00	0.91
53500.00	0.91
53600.00	0.91
53700.00	0.91
53800.00	0.91
53900.00	0.91
54000.00	0.91
54100.00	0.91
54200.00	0.91
54300.00	0.91
54400.00	0.91
54500.00	0.91
54600.00	0.91
54700.00	0.91
54800.00	0.91
54900.00	0.91
55000.00	0.91
55100.00	0.91
55200.00	0.91
55300.00	0.91
55400.00	0.91
55500.00	0.91
55600.00	0.91
55700.00	0.91
55800.00	0.91
55900.00	0.91
56000.00	0.91
56100.00	0.91
56200.00	0.91
56300.00	0.91
56400.00	0.91
56500.00	0.91
56600.00	0.91
56700.00	0.91
56800.00	0.91
56900.00	0.91
57000.00	0.91
57100.00	0.91
57200.00	0.91
57300.00	0.91
57400.00	0.91
57500.00	0.91
57600.00	0.91
57700.00	0.91
57800.00	0.91
57900.00	0.92
58000.00	0.92
58100.00	0.92
58200.00	0.92
58300.00	0.92
58400.00	0.92
58500.00	0.92
58600.00	0.92
58700.00	0.92
58800.00	0.92
58900.00	0.92
59000.00	0.92
59100.00	0.92
59200.00	0.92
59300.00	0.92
59400.00	0.92
59500.00	0.92
59600.00	0.92
59700.00	0.92
59800.00	0.92
59900.00	0.92
60000.00	0.92
60100.00	0.92
60200.00	0.92
60300.00	0.92
60400.00	0.92
60500.00	0.92
60600.00	0.92
60700.00	0.92
60800.00	0.92
60900.00	0.92
61000.00	0.92
61100.00	0.92
61200.00	0.92
61300.00	0.92
61400.00	0.92
61500.00	0.92
61600.00	0.92
61700.00	0.92
61800.00	0.92
61900.00	0.92
62000.00	0.92
62100.00	0.92
62200.00	0.92
62300.00	0.92
62400.00	0.92
62500.00	0.92
62600.00	0.92
62700.00	0.92
62800.00	0.92
62900.00	0.92
63000.00	0.92
63100.00	0.92
63200.00	0.92
63300.00	0.92
63400.00	0.92
63500.00	0.92
63600.00	0.92
63700.00	0.92
63800.00	0.92
63900.00	0.93
64000.00	0.93
64100.00	0.93
64200.00	0.93
64300.00	0.93
64400.00	0.93
64500.00	0.93
64600.00	0.93
64700.00	0.93
64800.00	0.93
64900.00	0.93
65000.00	0.93
65100.00	0.93
65200.00	0.93
65300.00	0.93
65400.00	0.93
65500.00	0.93
65600.00	0.93
65700.00	0.93
65800.00	0.93
65900.00	0.93
66000.00	0.93
66100.00	0.93
66200.00	0.93
66300.00	0.93
66400.00	0.93
66500.00	0.93
66600.00	0.93
66700.00	0.93
66800.00	0.93
66900.00	0.93
67000.00	0.93
67100.00	0.93
67200.00	0.93
67300.00	0.93
67400.00	0.93
